symbol,Date,High,Low,Open,Close,signal,pc_sma15c_sma30c,pc_open_close,pc_high_low,pc_low_close
WAVES,2019-01-01,3.270379066467285,3.0466599464416504,3.2571070194244385,3.1625239849090576,0.0,0.0,-0.029038970457929435,-0.06840770304565938,0.03802985581069878
WAVES,2019-01-02,3.1948659420013428,3.083117961883545,3.1785809993743896,3.1531639099121094,0.0,0.0,-0.007996363618634504,-0.034977361224676665,0.022719191706103856
WAVES,2019-01-03,3.182137012481689,3.076493978500366,3.152538061141968,3.103899955749512,0.0,0.0,-0.015428237327874638,-0.03319876974716867,0.008908184914603658
WAVES,2019-01-04,3.11728310585022,3.023183107376098,3.112997055053711,3.0868189334869385,0.0,0.0,-0.008409298532510429,-0.030186542344365214,0.021049279468246147
WAVES,2019-01-05,3.125133991241455,3.038382053375244,3.0810770988464355,3.073535919189453,0.0,0.0,-0.0024475790170281238,-0.027759429870636957,0.011569929388951482
WAVES,2019-01-06,3.239459991455078,3.0379459857940674,3.076688051223755,3.2101969718933105,0.0,0.0,0.043393713774931585,-0.06220604859839497,0.056699818530255956
WAVES,2019-01-07,3.213567018508911,2.934000968933105,3.2074549198150635,2.951987028121948,0.0,0.0,-0.07964816282058472,-0.08699555601784967,0.006130215831313467
WAVES,2019-01-08,3.067868947982788,2.8742079734802246,2.948549032211304,2.887408971786499,0.0,0.0,-0.02073564311018166,-0.06312556950318922,0.004592916875910699
WAVES,2019-01-09,2.9628210067749023,2.8453691005706787,2.8933401107788086,2.864082098007202,0.0,0.0,-0.010112192708561656,-0.03964191759665991,0.006576650260512874
WAVES,2019-01-10,2.8813750743865967,2.587460994720459,2.867119073867798,2.617750883102417,0.0,0.0,-0.08697517764024305,-0.10200479704250505,0.011706413524208674
WAVES,2019-01-11,2.7047810554504395,2.57092809677124,2.614423990249634,2.595897912979126,0.0,0.0,-0.00708610284315012,-0.049487539262917726,0.009712374390884411
WAVES,2019-01-12,2.6553781032562256,2.54795503616333,2.594774007797241,2.5955190658569336,0.0,0.0,0.00028713793858482436,-0.040454904317078315,0.018667531027244763
WAVES,2019-01-13,2.6695148944854736,2.4875190258026123,2.596167087554932,2.6695148944854736,0.0,0.0,0.028252344497449296,-0.06817563335526527,0.07316360871818431
WAVES,2019-01-14,2.818612098693848,2.6296169757843018,2.678919076919556,2.745975971221924,0.0,0.0,0.02503132508932495,-0.06705254795334455,0.044249408377399595
WAVES,2019-01-15,2.742849111557007,2.5867021083831787,2.7378571033477783,2.599402904510498,0.0,0.0,-0.05057027945979437,-0.05692876159898918,0.004910034319822774
WAVES,2019-01-16,2.7059431076049805,2.56345796585083,2.6022720336914062,2.5953240394592285,0.0,0.006806176844898859,-0.002669972294296143,-0.05265637010390194,0.012430893750903328
WAVES,2019-01-17,2.658090114593506,2.573349952697754,2.595922946929932,2.616400957107544,0.0,0.01416032957814141,0.007888527739943196,-0.031880093692275374,0.016729556881549597
WAVES,2019-01-18,2.632785081863404,2.532752990722656,2.617366075515747,2.55251693725586,0.0,0.021281915879054075,-0.024776487655479698,-0.03799478044366188,0.007803345452793199
WAVES,2019-01-19,2.667927026748657,2.5430591106414795,2.5630910396575928,2.6033289432525635,0.0,0.02841342534822018,0.015698975562079973,-0.04680334763854131,0.023699737201893466
WAVES,2019-01-20,2.6367149353027344,2.495105028152466,2.596548080444336,2.5409300327301025,0.0,0.03612546364125569,-0.021419995313437724,-0.05370694619060502,0.018365962178180716
WAVES,2019-01-21,2.560221910476685,2.497668027877808,2.540057897567749,2.536998987197876,1.0,0.047664606605189286,-0.0012042679707427648,-0.024432992446045472,0.015747072421584477
WAVES,2019-01-22,2.8190219402313232,2.472606897354126,2.539144992828369,2.7857680320739746,1.0,0.05143240536007285,0.09712837980586944,-0.12288483389695476,0.12665221271321148
WAVES,2019-01-23,3.194092035293579,2.741142988204956,2.7885119915008545,3.051819086074829,1.0,0.05126171294416649,0.094425663356124,-0.14180838939006685,0.1133381582816736
WAVES,2019-01-24,3.086546897888184,2.7229669094085693,3.047961950302124,2.7461600303649902,1.0,0.0531818266283069,-0.09901761401818622,-0.11779506370966733,0.008517591923824907
WAVES,2019-01-25,2.9325919151306152,2.7338640689849854,2.754307985305786,2.8107779026031494,1.0,0.04865911101532369,0.020502397552717377,-0.06776525745716608,0.02813374464763357
WAVES,2019-01-26,2.8174490928649902,2.6859378814697266,2.804831027984619,2.704498052597046,1.0,0.044746295260098407,-0.03577148654821692,-0.04667740465242386,0.006910126721606584
WAVES,2019-01-27,2.9264159202575684,2.6364190578460693,2.706084966659546,2.699513912200928,1.0,0.04096837974738989,-0.002428251344498315,-0.09909625641524496,0.0239320278644954
WAVES,2019-01-28,2.924329996109009,2.524097919464112,2.705177068710327,2.8871099948883057,1.0,0.03687301628798189,0.06725361096777065,-0.13686282915314915,0.14381853914021847
WAVES,2019-01-29,3.016155958175659,2.8038249015808105,2.907815933227539,2.960958957672119,1.0,0.03365117562878246,0.018275924496222777,-0.0703979036691718,0.05604274931816021
WAVES,2019-01-30,3.057451009750366,2.7788779735565186,2.968619108200073,2.893187999725342,1.0,0.02766670556834353,-0.02540949368222124,-0.0911128372312309,0.0411353169360383
WAVES,2019-01-31,2.9138970375061035,2.7816929817199707,2.8932559490203857,2.7950780391693115,0.0,0.018650405194850235,-0.033933364894424854,-0.045370187787857244,0.004811838523266719
WAVES,2019-02-01,2.7914810180664062,2.6764419078826904,2.7914810180664062,2.732460021972656,0.0,0.010927516093837642,-0.0211432553944547,-0.04121078002651106,0.02093006910592011
WAVES,2019-02-02,2.7448840141296387,2.70911192893982,2.7322609424591064,2.72119688987732,1.0,0.002316151749827435,-0.004049412854333279,-0.013032275682935069,0.004460857009414636
WAVES,2019-02-03,2.880897045135498,2.709846019744873,2.7198760509490967,2.816340923309326,0.0,-0.00608188964000536,0.03546664280034681,-0.059374223622274534,0.039299245340323585
WAVES,2019-02-04,2.840291976928711,2.711440086364746,2.823873996734619,2.7223060131073,1.0,-0.014761012517467476,-0.035967604696515235,-0.04536572000717197,0.004007437522664114
WAVES,2019-02-05,2.776555061340332,2.6406168937683105,2.7217230796813965,2.66251802444458,0.0,-0.024604526553886962,-0.02175278435885069,-0.04895929112473634,0.008293944770237144
WAVES,2019-02-06,2.664171934127808,2.507077932357788,2.664171934127808,2.5087618827819824,0.0,-0.023379276176482274,-0.05833334153664655,-0.05896541426537065,0.000671678531592618
WAVES,2019-02-07,2.6040821075439453,2.4887681007385254,2.5085840225219727,2.500330924987793,1.0,-0.014666993454605376,-0.0032899426369950896,-0.044282016481492194,0.004646003075110287
