symbol,Date,High,Low,Open,Close,signal,pc_sma15c_sma30c,pc_open_close,pc_high_low,pc_low_close
BAND,2019-09-17,0.7069460153579712,0.6273699998855591,0.6888449788093567,0.6401939988136292,0.0,0.0,-0.07062689210541823,-0.11256307234735283,0.020440886447246988
BAND,2019-09-18,0.6460229754447937,0.565513014793396,0.6404070258140564,0.6026309728622437,0.0,0.0,-0.058987567951481384,-0.12462398972105557,0.0656359042106366
BAND,2019-09-19,0.8927059769630432,0.588267982006073,0.6039630174636841,0.6835870146751404,0.0,0.0,0.13183588218006087,-0.34102829242015203,0.16203335143962222
BAND,2019-09-20,0.8526610136032104,0.6798719763755798,0.6810979843139648,0.8036350011825562,0.0,0.0,0.17991099620125375,-0.20264681329506495,0.18203872068203358
BAND,2019-09-21,0.9308440089225768,0.7121180295944214,0.8123769760131836,0.7287840247154236,0.0,0.0,-0.10289921276203602,-0.23497597581502833,0.023403416889323982
BAND,2019-09-22,0.7572659850120544,0.6270849704742432,0.7236199975013733,0.6356130242347717,0.0,0.0,-0.1216204272553075,-0.17190923283810114,0.01359951866503687
BAND,2019-09-23,0.6779990196228027,0.478206992149353,0.6356509923934937,0.4917860031127929,0.0,0.0,-0.22632701120938784,-0.29467893269904993,0.028395676320849165
BAND,2019-09-24,0.5103849768638611,0.4412040114402771,0.4960080087184906,0.4677880108356476,0.0,0.0,-0.05689423837279063,-0.13554663354058158,0.060253303927561834
BAND,2019-09-25,0.5759450197219849,0.4581339955329895,0.4675329923629761,0.5187050104141235,0.0,0.0,0.10945113796679255,-0.2045525530299126,0.1322124432409042
BAND,2019-09-26,0.5338389873504639,0.4864889979362488,0.517831027507782,0.5208460092544556,0.0,0.0,0.005822327335586848,-0.088697136283023,0.07062238090471483
BAND,2019-09-27,0.5366430282592773,0.5050420165061951,0.52080899477005,0.5275359749794006,0.0,0.0,0.012916405586122245,-0.05888646658764446,0.044538786354480754
BAND,2019-09-28,0.5408989787101746,0.490896999835968,0.5297350287437439,0.5004289746284485,0.0,0.0,-0.05532209977655081,-0.09244236140626676,0.01941746393981946
BAND,2019-09-29,0.563094973564148,0.4906159937381744,0.5004289746284485,0.5112900137901306,0.0,0.0,0.021703457857823044,-0.12871537347814158,0.04213890357392074
BAND,2019-09-30,0.5241590142250061,0.4757480025291443,0.5113869905471802,0.489766001701355,0.0,0.0,-0.04227911394986975,-0.09235939930831827,0.02946517714775261
BAND,2019-10-01,0.4922820031642914,0.4660730063915252,0.489766001701355,0.48020800948143,0.0,0.0,-0.019515426115169928,-0.05323980280469308,0.03032787330753641
BAND,2019-10-02,0.5108270049095154,0.4682359993457794,0.48020800948143,0.4828700125217438,0.0,0.008492759633652747,0.005543437401613597,-0.0833765739759202,0.03125349865540249
BAND,2019-10-03,0.4858860075473785,0.4734489917755127,0.4836939871311188,0.4770649969577789,0.0,0.01396085128122322,-0.013704925737567472,-0.025596571168296223,0.007637581334169827
